씬 ID,대화 ID,대화 종류,화자,대사,선택지 ID,연결된 대화 ID,삽화,초상화,표시 아이템,효과음,배경음악
Scene ID,Dialogue ID,Dialogue Type,Talker,Script,Choice ID,Linked Dialogue ID,Illustration,Character Portrait,Display Item,SFX,BGM
101,1,RoomDialogue,김진혁,예전에 좋아하던 밴드다.,,,,,,,
,,,,지금도 공연하고 있으려나... ,,,,,,,
102,1,RoomDialogue,김진혁,먹다 남은 배달음식들이다.,,,,,,,
,,,,매번 시켜먹지만 항상 남기게 된다.,,,,,,,
,,,,오래된건 버려야 되는데...,,,,,,,
,,,,귀찮다...,,,,,,,
103,1,RoomDialogue,김진혁,온라인에서 시킨 반찬들이다.,,,,,,,
,,,,배고플 때마다 하나씩 꺼내서 밥이랑 먹고 있다.,,,,,,,
,,,,누나가 배달 음식은 적당히 먹으라고 해서 그런지 많이 안 먹고 있다.,,,,,,,
104,1,RoomDialogue,김진혁,까먹을까 봐 적어둔 외주 알바다,,,RoomMemo_Screen,,,,
,,,,이거라도 해야 생활비가...,,,RoomMemo_Screen,,,,
105,1,RoomDialogue,김진혁,밖에 나가는 유일한 이유이다.,,,,,,,
,,,,슬슬 버려야 하는데...,,,,,,,
,,,,귀찮다...,,,,,,,
106,1,RoomDialogue,김진혁,이불 정리가 안된 더러운 침대다.,,,,,,,
,2,RoomNarration,,취침하시겠습니까?,1,,,,,,
107,1,RoomDialogue,김진혁,이불이랑 베개가 정리 정돈된 침대다.,,,,,,,
,2,RoomNarration,,취침하시겠습니까?,1,,,,,,
108,1,RoomDialogue,김진혁,낡고 허름한 베란다가 보인다.,,,,,,,
,2,RoomNarration,,나가시겠습니까?,2,,,,,,
109,1,RoomDialogue,김진혁,인생의 동반자다.,,,RoomAlba1_Screen,,,,
,,,,컴퓨터가 없었다면...,,,RoomAlba1_Screen,,,,
,,,,아마 평생 동안 침대에 누워 살았겠지.,,,RoomAlba1_Screen,,,,
,2,RoomNarration,,알바를 시작 하시겠습니까?,3,,RoomAlba1_Screen,,,,
,3,RoomNarration,,알바 중...,,,RoomAlba2_Screen,,,,
,4,RoomNarration,,오늘치 알바를 끝냈습니다!,,,RoomAlba3_Screen,,,,
110,1,RoomDialogue,김진혁,누나가 좋아 할려나...,,,,,,,
,2,RoomNarration,,선물을 사시겠습니까?,4,,,,,,
,3,RoomNarration,,선물을 구매했습니다! (주문 동시 도착!),,,RoomAlbaGift_Screen,,,,
